hmass obsLimit expLimit exp68lo exp68hi exp95lo exp95hi
160 0.851154 2.05389 1.28927 3.39337 0.85746 4.71423
180 0.43014 1.2923 0.819393 2.03005 0.521347 2.6742
200 2.98461 1.65564 1.05137 2.64732 0.756954 3.68745
250 0.910163 1.62331 0.99689 2.61069 0.62713 3.59811
300 1.08541 1.35503 0.835464 2.03859 0.529747 2.80721
350 1.95192 1.0836 0.676334 1.70001 0.425551 2.34409
400 2.41934 0.991137 0.614072 1.58224 0.415366 2.16797
450 3.19209 1.26614 0.763002 2.06872 0.493412 2.80332
500 5.46053 2.3647 1.35443 3.53018 0.868672 4.87005
550 5.41917 2.12939 1.25774 3.41719 0.861212 5.09865
600 6.22841 3.0637 1.86862 4.96242 1.22074 7.06508
