hhmass   obsLimit        exp95lo         exp68lo         expLimit        exp68hi         exp95hi
4
170	1.6916	0.9186	1.2219	1.6932	2.3519	3.1248	
4
180	1.3980	0.7591	1.0097	1.3991	1.9434	2.5820	
4
190	1.8130	0.9853	1.3106	1.8160	2.5224	3.3514	
4
200	1.6266	0.8809	1.1717	1.6236	2.2551	2.9962	
4
250	1.5694	0.8674	1.1537	1.5987	2.2206	2.9503	
4
300	1.6132	0.8926	1.1873	1.6452	2.2851	3.0361	
4
350	1.2031	0.6634	0.8824	1.2227	1.6983	2.2565	
4
400	1.2411	0.6843	0.9102	1.2612	1.7519	2.3276	
4
450	1.6150	0.8937	1.1888	1.6473	2.2881	3.0400	
4
500	2.4748	1.3786	1.8337	2.5409	3.5294	4.6892	
4
550	3.8774	2.1413	2.8483	3.9468	5.4821	7.2837	
4
600	5.7122	3.1494	4.1892	5.8048	8.0629	10.7126	
