hmass obsLimit expLimit exp68lo exp68hi exp95lo exp95hi
160 0.818163 1.52802 0.921279 2.3871 0.639825 3.21336
180 0.433095 0.86076 0.534671 1.33292 0.38393 1.8837
200 1.46959 1.00002 0.565106 1.49256 0.379577 1.87431
250 0.528439 1.06377 0.636156 1.5831 0.401496 2.10951
300 0.587698 0.961643 0.590075 1.52449 0.43293 2.02384
350 1.22322 0.735222 0.442177 1.17016 0.314199 1.58588
400 1.74051 0.841873 0.514194 1.2957 0.333059 1.74324
450 2.87485 1.0226 0.6137 1.57427 0.427841 2.01489
500 5.4411 1.80582 1.15194 2.92397 0.716163 3.77228
550 5.50851 1.9328 1.20689 2.92585 0.776323 4.02687
600 6.65764 2.84905 1.80809 4.42541 1.21059 5.89809
