hmass obsLimit expLimit exp68lo exp68hi exp95lo exp95hi
160 0.80664 1.40902 0.873264 2.11657 0.567477 2.71885
180 0.434198 0.845385 0.518423 1.3465 0.36137 1.82249
200 1.28461 0.844972 0.512465 1.31788 0.329164 1.75423
250 0.441267 0.86463 0.55806 1.38548 0.388059 1.84878
300 0.48136 0.835582 0.52698 1.29097 0.347119 1.80176
350 1.09437 0.736633 0.453834 1.08681 0.319081 1.586
400 1.61593 0.797683 0.495479 1.18786 0.32277 1.56328
450 2.83306 0.977274 0.589593 1.5384 0.420799 2.09422
500 5.43466 1.85097 1.09689 2.73247 0.728647 3.61008
550 5.51671 1.93701 1.14364 2.94394 0.73201 3.91492
600 6.71115 2.90346 1.75971 4.47566 1.13057 6.09638
