HBM01	1	1	0	10
HBM01	1	1	1	10
HBM01	1	1	2	10
HBM01	1	1	3	10
HBM01	1	1	4	10
HBM01	1	1	5	11
HBM01	1	2	0	13
HBM01	1	2	1	16
HBM01	1	2	2	19
HBM01	1	2	3	11
HBM01	1	2	4	14
HBM01	1	2	5	17
HBM01	1	3	0	12
HBM01	1	3	1	15
HBM01	1	3	2	18
HBM01	1	3	3	13
HBM01	1	3	4	16
HBM01	1	3	5	20
HBM01	2	1	0	12
HBM01	2	1	1	12
HBM01	2	1	2	12
HBM01	2	1	3	12
HBM01	2	1	4	12
HBM01	2	1	5	13
HBM01	2	2	0	15
HBM01	2	2	1	18
HBM01	2	2	2	21
HBM01	2	2	3	13
HBM01	2	2	4	16
HBM01	2	2	5	19
HBM01	2	3	0	14
HBM01	2	3	1	17
HBM01	2	3	2	20
HBM01	2	3	3	15
HBM01	2	3	4	18
HBM01	2	3	5	22
HBM01	3	1	0	9
HBM01	3	1	1	9
HBM01	3	1	2	9
HBM01	3	1	3	9
HBM01	3	1	4	9
HBM01	3	1	5	10
HBM01	3	2	0	12
HBM01	3	2	1	15
HBM01	3	2	2	18
HBM01	3	2	3	10
HBM01	3	2	4	13
HBM01	3	2	5	16
HBM01	3	3	0	11
HBM01	3	3	1	14
HBM01	3	3	2	17
HBM01	3	3	3	12
HBM01	3	3	4	15
HBM01	3	3	5	19
HBM01	4	1	0	10
HBM01	4	1	1	10
HBM01	4	1	2	10
HBM01	4	1	3	10
HBM01	4	1	4	10
HBM01	4	1	5	11
HBM01	4	2	0	13
HBM01	4	2	1	16
HBM01	4	2	2	19
HBM01	4	2	3	11
HBM01	4	2	4	14
HBM01	4	2	5	17
HBM01	4	3	0	12
HBM01	4	3	1	15
HBM01	4	3	2	18
HBM01	4	3	3	13
HBM01	4	3	4	16
HBM01	4	3	5	20
HBM02	1	1	0	10
HBM02	1	1	1	10
HBM02	1	1	2	10
HBM02	1	1	3	10
HBM02	1	1	4	10
HBM02	1	1	5	11
HBM02	1	2	0	13
HBM02	1	2	1	16
HBM02	1	2	2	19
HBM02	1	2	3	11
HBM02	1	2	4	14
HBM02	1	2	5	17
HBM02	1	3	0	12
HBM02	1	3	1	15
HBM02	1	3	2	18
HBM02	1	3	3	13
HBM02	1	3	4	16
HBM02	1	3	5	20
HBM02	2	1	0	10
HBM02	2	1	1	10
HBM02	2	1	2	10
HBM02	2	1	3	10
HBM02	2	1	4	10
HBM02	2	1	5	11
HBM02	2	2	0	13
HBM02	2	2	1	16
HBM02	2	2	2	19
HBM02	2	2	3	11
HBM02	2	2	4	14
HBM02	2	2	5	17
HBM02	2	3	0	12
HBM02	2	3	1	15
HBM02	2	3	2	18
HBM02	2	3	3	13
HBM02	2	3	4	16
HBM02	2	3	5	20
HBM02	3	1	0	8
HBM02	3	1	1	8
HBM02	3	1	2	8
HBM02	3	1	3	8
HBM02	3	1	4	8
HBM02	3	1	5	9
HBM02	3	2	0	11
HBM02	3	2	1	14
HBM02	3	2	2	17
HBM02	3	2	3	9
HBM02	3	2	4	12
HBM02	3	2	5	15
HBM02	3	3	0	10
HBM02	3	3	1	13
HBM02	3	3	2	16
HBM02	3	3	3	11
HBM02	3	3	4	14
HBM02	3	3	5	18
HBM02	4	1	0	6
HBM02	4	1	1	6
HBM02	4	1	2	6
HBM02	4	1	3	6
HBM02	4	1	4	6
HBM02	4	1	5	7
HBM02	4	2	0	9
HBM02	4	2	1	12
HBM02	4	2	2	15
HBM02	4	2	3	7
HBM02	4	2	4	10
HBM02	4	2	5	13
HBM02	4	3	0	8
HBM02	4	3	1	11
HBM02	4	3	2	14
HBM02	4	3	3	9
HBM02	4	3	4	12
HBM02	4	3	5	16
HBM03	1	1	0	10
HBM03	1	1	1	10
HBM03	1	1	2	10
HBM03	1	1	3	10
HBM03	1	1	4	10
HBM03	1	1	5	11
HBM03	1	2	0	13
HBM03	1	2	1	16
HBM03	1	2	2	19
HBM03	1	2	3	11
HBM03	1	2	4	14
HBM03	1	2	5	17
HBM03	1	3	0	12
HBM03	1	3	1	15
HBM03	1	3	2	18
HBM03	1	3	3	13
HBM03	1	3	4	16
HBM03	1	3	5	20
HBM03	2	1	0	10
HBM03	2	1	1	10
HBM03	2	1	2	10
HBM03	2	1	3	10
HBM03	2	1	4	10
HBM03	2	1	5	11
HBM03	2	2	0	13
HBM03	2	2	1	16
HBM03	2	2	2	19
HBM03	2	2	3	11
HBM03	2	2	4	14
HBM03	2	2	5	17
HBM03	2	3	0	12
HBM03	2	3	1	15
HBM03	2	3	2	18
HBM03	2	3	3	13
HBM03	2	3	4	16
HBM03	2	3	5	20
HBM03	3	1	0	9
HBM03	3	1	1	9
HBM03	3	1	2	9
HBM03	3	1	3	9
HBM03	3	1	4	9
HBM03	3	1	5	10
HBM03	3	2	0	12
HBM03	3	2	1	15
HBM03	3	2	2	18
HBM03	3	2	3	10
HBM03	3	2	4	13
HBM03	3	2	5	16
HBM03	3	3	0	11
HBM03	3	3	1	14
HBM03	3	3	2	17
HBM03	3	3	3	12
HBM03	3	3	4	15
HBM03	3	3	5	19
HBM03	4	1	0	9
HBM03	4	1	1	9
HBM03	4	1	2	9
HBM03	4	1	3	9
HBM03	4	1	4	9
HBM03	4	1	5	10
HBM03	4	2	0	12
HBM03	4	2	1	15
HBM03	4	2	2	18
HBM03	4	2	3	10
HBM03	4	2	4	13
HBM03	4	2	5	16
HBM03	4	3	0	11
HBM03	4	3	1	14
HBM03	4	3	2	17
HBM03	4	3	3	12
HBM03	4	3	4	15
HBM03	4	3	5	19
HBM04	1	1	0	11
HBM04	1	1	1	11
HBM04	1	1	2	11
HBM04	1	1	3	11
HBM04	1	1	4	11
HBM04	1	1	5	12
HBM04	1	2	0	14
HBM04	1	2	1	17
HBM04	1	2	2	20
HBM04	1	2	3	12
HBM04	1	2	4	15
HBM04	1	2	5	18
HBM04	1	3	0	13
HBM04	1	3	1	16
HBM04	1	3	2	19
HBM04	1	3	3	14
HBM04	1	3	4	17
HBM04	1	3	5	21
HBM04	2	1	0	9
HBM04	2	1	1	9
HBM04	2	1	2	9
HBM04	2	1	3	9
HBM04	2	1	4	9
HBM04	2	1	5	10
HBM04	2	2	0	12
HBM04	2	2	1	15
HBM04	2	2	2	18
HBM04	2	2	3	10
HBM04	2	2	4	13
HBM04	2	2	5	16
HBM04	2	3	0	11
HBM04	2	3	1	14
HBM04	2	3	2	17
HBM04	2	3	3	12
HBM04	2	3	4	15
HBM04	2	3	5	19
HBM04	3	1	0	10
HBM04	3	1	1	10
HBM04	3	1	2	10
HBM04	3	1	3	10
HBM04	3	1	4	10
HBM04	3	1	5	11
HBM04	3	2	0	13
HBM04	3	2	1	16
HBM04	3	2	2	19
HBM04	3	2	3	11
HBM04	3	2	4	14
HBM04	3	2	5	17
HBM04	3	3	0	12
HBM04	3	3	1	15
HBM04	3	3	2	18
HBM04	3	3	3	13
HBM04	3	3	4	16
HBM04	3	3	5	20
HBM04	4	1	0	9
HBM04	4	1	1	9
HBM04	4	1	2	9
HBM04	4	1	3	9
HBM04	4	1	4	9
HBM04	4	1	5	10
HBM04	4	2	0	12
HBM04	4	2	1	15
HBM04	4	2	2	18
HBM04	4	2	3	10
HBM04	4	2	4	13
HBM04	4	2	5	16
HBM04	4	3	0	11
HBM04	4	3	1	14
HBM04	4	3	2	17
HBM04	4	3	3	12
HBM04	4	3	4	15
HBM04	4	3	5	19
HBM05	1	1	0	8
HBM05	1	1	1	8
HBM05	1	1	2	8
HBM05	1	1	3	8
HBM05	1	1	4	8
HBM05	1	1	5	9
HBM05	1	2	0	11
HBM05	1	2	1	14
HBM05	1	2	2	17
HBM05	1	2	3	9
HBM05	1	2	4	12
HBM05	1	2	5	15
HBM05	1	3	0	10
HBM05	1	3	1	13
HBM05	1	3	2	16
HBM05	1	3	3	11
HBM05	1	3	4	14
HBM05	1	3	5	18
HBM05	2	1	0	9
HBM05	2	1	1	9
HBM05	2	1	2	9
HBM05	2	1	3	9
HBM05	2	1	4	9
HBM05	2	1	5	10
HBM05	2	2	0	12
HBM05	2	2	1	15
HBM05	2	2	2	18
HBM05	2	2	3	10
HBM05	2	2	4	13
HBM05	2	2	5	16
HBM05	2	3	0	11
HBM05	2	3	1	14
HBM05	2	3	2	17
HBM05	2	3	3	12
HBM05	2	3	4	15
HBM05	2	3	5	19
HBM05	3	1	0	6
HBM05	3	1	1	6
HBM05	3	1	2	6
HBM05	3	1	3	6
HBM05	3	1	4	6
HBM05	3	1	5	7
HBM05	3	2	0	9
HBM05	3	2	1	12
HBM05	3	2	2	15
HBM05	3	2	3	7
HBM05	3	2	4	10
HBM05	3	2	5	13
HBM05	3	3	0	8
HBM05	3	3	1	11
HBM05	3	3	2	14
HBM05	3	3	3	9
HBM05	3	3	4	12
HBM05	3	3	5	16
HBM05	4	1	0	5
HBM05	4	1	1	5
HBM05	4	1	2	5
HBM05	4	1	3	5
HBM05	4	1	4	5
HBM05	4	1	5	6
HBM05	4	2	0	8
HBM05	4	2	1	11
HBM05	4	2	2	14
HBM05	4	2	3	6
HBM05	4	2	4	9
HBM05	4	2	5	12
HBM05	4	3	0	7
HBM05	4	3	1	10
HBM05	4	3	2	13
HBM05	4	3	3	8
HBM05	4	3	4	11
HBM05	4	3	5	15
HBM06	1	1	0	9
HBM06	1	1	1	9
HBM06	1	1	2	9
HBM06	1	1	3	9
HBM06	1	1	4	9
HBM06	1	1	5	10
HBM06	1	2	0	12
HBM06	1	2	1	15
HBM06	1	2	2	18
HBM06	1	2	3	10
HBM06	1	2	4	13
HBM06	1	2	5	16
HBM06	1	3	0	11
HBM06	1	3	1	14
HBM06	1	3	2	17
HBM06	1	3	3	12
HBM06	1	3	4	15
HBM06	1	3	5	19
HBM06	2	1	0	9
HBM06	2	1	1	9
HBM06	2	1	2	9
HBM06	2	1	3	9
HBM06	2	1	4	9
HBM06	2	1	5	10
HBM06	2	2	0	12
HBM06	2	2	1	15
HBM06	2	2	2	18
HBM06	2	2	3	10
HBM06	2	2	4	13
HBM06	2	2	5	16
HBM06	2	3	0	11
HBM06	2	3	1	14
HBM06	2	3	2	17
HBM06	2	3	3	12
HBM06	2	3	4	15
HBM06	2	3	5	19
HBM06	3	1	0	9
HBM06	3	1	1	9
HBM06	3	1	2	9
HBM06	3	1	3	9
HBM06	3	1	4	9
HBM06	3	1	5	10
HBM06	3	2	0	12
HBM06	3	2	1	15
HBM06	3	2	2	18
HBM06	3	2	3	10
HBM06	3	2	4	13
HBM06	3	2	5	16
HBM06	3	3	0	11
HBM06	3	3	1	14
HBM06	3	3	2	17
HBM06	3	3	3	12
HBM06	3	3	4	15
HBM06	3	3	5	19
HBM06	4	1	0	8
HBM06	4	1	1	8
HBM06	4	1	2	8
HBM06	4	1	3	8
HBM06	4	1	4	8
HBM06	4	1	5	9
HBM06	4	2	0	11
HBM06	4	2	1	14
HBM06	4	2	2	17
HBM06	4	2	3	9
HBM06	4	2	4	12
HBM06	4	2	5	15
HBM06	4	3	0	10
HBM06	4	3	1	13
HBM06	4	3	2	16
HBM06	4	3	3	11
HBM06	4	3	4	14
HBM06	4	3	5	18
HBM07	1	1	0	8
HBM07	1	1	1	8
HBM07	1	1	2	8
HBM07	1	1	3	8
HBM07	1	1	4	8
HBM07	1	1	5	9
HBM07	1	2	0	11
HBM07	1	2	1	14
HBM07	1	2	2	17
HBM07	1	2	3	9
HBM07	1	2	4	12
HBM07	1	2	5	15
HBM07	1	3	0	10
HBM07	1	3	1	13
HBM07	1	3	2	16
HBM07	1	3	3	11
HBM07	1	3	4	14
HBM07	1	3	5	18
HBM07	2	1	0	11
HBM07	2	1	1	11
HBM07	2	1	2	11
HBM07	2	1	3	11
HBM07	2	1	4	11
HBM07	2	1	5	12
HBM07	2	2	0	14
HBM07	2	2	1	17
HBM07	2	2	2	20
HBM07	2	2	3	12
HBM07	2	2	4	15
HBM07	2	2	5	18
HBM07	2	3	0	13
HBM07	2	3	1	16
HBM07	2	3	2	19
HBM07	2	3	3	14
HBM07	2	3	4	17
HBM07	2	3	5	21
HBM07	3	1	0	8
HBM07	3	1	1	8
HBM07	3	1	2	8
HBM07	3	1	3	8
HBM07	3	1	4	8
HBM07	3	1	5	9
HBM07	3	2	0	11
HBM07	3	2	1	14
HBM07	3	2	2	17
HBM07	3	2	3	9
HBM07	3	2	4	12
HBM07	3	2	5	15
HBM07	3	3	0	10
HBM07	3	3	1	13
HBM07	3	3	2	16
HBM07	3	3	3	11
HBM07	3	3	4	14
HBM07	3	3	5	18
HBM07	4	1	0	7
HBM07	4	1	1	7
HBM07	4	1	2	7
HBM07	4	1	3	7
HBM07	4	1	4	7
HBM07	4	1	5	8
HBM07	4	2	0	10
HBM07	4	2	1	13
HBM07	4	2	2	16
HBM07	4	2	3	8
HBM07	4	2	4	11
HBM07	4	2	5	14
HBM07	4	3	0	9
HBM07	4	3	1	12
HBM07	4	3	2	15
HBM07	4	3	3	10
HBM07	4	3	4	13
HBM07	4	3	5	17
HBM08	1	1	0	9
HBM08	1	1	1	9
HBM08	1	1	2	9
HBM08	1	1	3	9
HBM08	1	1	4	9
HBM08	1	1	5	10
HBM08	1	2	0	12
HBM08	1	2	1	15
HBM08	1	2	2	18
HBM08	1	2	3	10
HBM08	1	2	4	13
HBM08	1	2	5	16
HBM08	1	3	0	11
HBM08	1	3	1	14
HBM08	1	3	2	17
HBM08	1	3	3	12
HBM08	1	3	4	15
HBM08	1	3	5	19
HBM08	2	1	0	10
HBM08	2	1	1	10
HBM08	2	1	2	10
