hmass obsLimit expLimit exp68lo exp68hi exp95lo exp95hi
160 0.848247 1.97795 1.17704 3.31904 0.80896 4.8299
180 0.430384 1.28313 0.767405 1.97166 0.517215 2.62482
200 2.67074 1.53813 0.925663 2.55034 0.623635 3.50297
250 0.862924 1.51816 0.939326 2.41382 0.614899 3.42274
300 1.02298 1.26692 0.756224 1.96736 0.504977 2.62566
350 1.84342 1.07945 0.643215 1.67124 0.409708 2.29313
400 2.3218 0.964415 0.605097 1.48522 0.414732 2.04812
450 3.13513 1.24201 0.767642 1.9502 0.531828 2.71769
500 5.46115 2.26412 1.3592 3.45437 0.897735 4.43729
550 5.43831 2.17498 1.2936 3.34728 0.85612 4.46868
600 6.30496 3.16847 1.95258 4.9815 1.21422 6.4953
