hmass obsLimit expLimit exp68lo exp68hi exp95lo exp95hi
160 6.61154 6.31951 3.66995 10.0966 2.27376 14.4492
180 3.69035 3.47751 2.04441 5.52248 1.18258 7.89807
200 3.44184 3.2274 1.91119 5.32541 1.12524 7.39416
250 3.48367 3.97961 2.26521 6.35576 1.44174 9.10915
300 3.48185 4.20861 2.46086 6.59211 1.52136 9.68363
350 3.0094 3.06239 1.76559 4.76226 1.10366 7.01437
400 3.50756 3.37776 2.05596 5.46411 1.18772 7.52984
450 5.22013 3.44566 2.11084 5.71785 1.19657 7.70846
500 10.3924 6.09759 3.8158 10.2514 2.28438 14.3121
550 11.4677 6.93471 4.12426 11.4104 2.70289 16.3188
600 18.0821 11.6862 7.06795 18.9309 4.46761 28.056
